Year,TFPGrowthRatePct,Raw_PennWorldTable9_TFPgrowthPct,Raw_WuXiaoyan_TFPgrowthPct,TFP_Multiplier,TFP
2005,5.9481982,5.9481982,,1.059481982,1.860668453
2006,6.223144672,6.223144672,,1.062231447,1.971344701
2007,-0.226658822,-0.226658822,,0.997733412,2.094024333
2008,2.617578009,2.617578009,,1.02617578,2.089278042
2009,1.660540501,1.660540501,,1.016605405,2.143966525
2010,0.676667875,0.676667875,,1.006766679,2.179567957
2011,1.42017603,1.42017603,,1.01420176,2.194316394
2012,1.520909015,1.520909015,,1.01520909,2.225479549
2013,1.251502818,1.251502818,,1.012515028,2.259327068
2014,1.23054425,,,1.012305443,2.28760261
2015,1.209585682,,,1.012095857,2.315752572
2016,1.188627114,,,1.011886271,2.343763584
2017,1.167668546,,,1.011676685,2.371622193
2018,1.146709977,,,1.0114671,2.39931488
2019,1.125751409,,,1.011257514,2.426828063
2020,1.104792841,,,1.011047928,2.454148114
2021,1.083834273,,,1.010838343,2.481261367
2022,1.062875705,,,1.010628757,2.508154128
2023,1.041917136,,,1.010419171,2.534812689
2024,1.020958568,,,1.010209586,2.561223336
2025,1,,,1.01,2.587372366
2026,1,,,1.01,2.613246089
2027,1,,,1.01,2.63937855
2028,1,,,1.01,2.665772336
2029,1,,,1.01,2.692430059
2030,1,,,1.01,2.71935436
2031,1,,,1.01,2.746547903
2032,1,,,1.01,2.774013382
2033,1,,,1.01,2.801753516
2034,1,,,1.01,2.829771051
2035,1,,,1.01,2.858068762
2036,1,,,1.01,2.886649449
2037,1,,,1.01,2.915515944
2038,1,,,1.01,2.944671103
2039,1,,,1.01,2.974117814
2040,1,,,1.01,3.003858992
2041,1,,,1.01,3.033897582
2042,1,,,1.01,3.064236558
2043,1,,,1.01,3.094878924
2044,1,,,1.01,3.125827713
2045,1,,,1.01,3.15708599
2046,1,,,1.01,3.18865685
2047,1,,,1.01,3.220543419
2048,1,,,1.01,3.252748853
2049,1,,,1.01,3.285276341
2050,1,,,1.01,3.318129105
2051,1,,,1.01,3.351310396
2052,1,,,1.01,3.3848235
2053,1,,,1.01,3.418671735
2054,1,,,1.01,3.452858452
2055,1,,,1.01,3.487387037
2056,1,,,1.01,3.522260907
2057,1,,,1.01,3.557483516
2058,1,,,1.01,3.593058351
2059,1,,,1.01,3.628988935
2060,1,,,1.01,3.665278824
2061,1,,,1.01,3.701931612
2062,1,,,1.01,3.738950928
2063,1,,,1.01,3.776340438
2064,1,,,1.01,3.814103842
2065,1,,,1.01,3.85224488
2066,1,,,1.01,3.890767329
2067,1,,,1.01,3.929675003
2068,1,,,1.01,3.968971753
2069,1,,,1.01,4.00866147
2070,1,,,1.01,4.048748085
2071,1,,,1.01,4.089235566
2072,1,,,1.01,4.130127921
2073,1,,,1.01,4.1714292
2074,1,,,1.01,4.213143492
2075,1,,,1.01,4.255274927
2076,0,,,1,4.297827677
2077,0,,,1,4.297827677
2078,0,,,1,4.297827677
2079,0,,,1,4.297827677
2080,0,,,1,4.297827677
2081,0,,,1,4.297827677
2082,0,,,1,4.297827677
2083,0,,,1,4.297827677
2084,0,,,1,4.297827677
2085,0,,,1,4.297827677
2086,0,,,1,4.297827677
2087,0,,,1,4.297827677
2088,0,,,1,4.297827677
2089,0,,,1,4.297827677
2090,0,,,1,4.297827677
2091,0,,,1,4.297827677
2092,0,,,1,4.297827677
2093,0,,,1,4.297827677
2094,0,,,1,4.297827677
2095,0,,,1,4.297827677
2096,0,,,1,4.297827677
2097,0,,,1,4.297827677
2098,0,,,1,4.297827677
2099,0,,,1,4.297827677
2100,0,,,1,4.297827677
2101,0,,,1,4.297827677
2102,0,,,1,4.297827677
2103,0,,,1,4.297827677
2104,0,,,1,4.297827677
2105,0,,,1,4.297827677
2106,0,,,1,4.297827677
2107,0,,,1,4.297827677
2108,0,,,1,4.297827677
2109,0,,,1,4.297827677
2110,0,,,1,4.297827677
2111,0,,,1,4.297827677
2112,0,,,1,4.297827677
2113,0,,,1,4.297827677
2114,0,,,1,4.297827677
2115,0,,,1,4.297827677
2116,0,,,1,4.297827677
2117,0,,,1,4.297827677
2118,0,,,1,4.297827677
2119,0,,,1,4.297827677
2120,0,,,1,4.297827677
2121,0,,,1,4.297827677
2122,0,,,1,4.297827677
2123,0,,,1,4.297827677
2124,0,,,1,4.297827677
2125,0,,,1,4.297827677
2126,0,,,1,4.297827677
2127,0,,,1,4.297827677
2128,0,,,1,4.297827677
2129,0,,,1,4.297827677
2130,0,,,1,4.297827677
2131,0,,,1,4.297827677
2132,0,,,1,4.297827677
2133,0,,,1,4.297827677
2134,0,,,1,4.297827677
2135,0,,,1,4.297827677
2136,0,,,1,4.297827677
2137,0,,,1,4.297827677
2138,0,,,1,4.297827677
2139,0,,,1,4.297827677
2140,0,,,1,4.297827677
2141,0,,,1,4.297827677
2142,0,,,1,4.297827677
2143,0,,,1,4.297827677
2144,0,,,1,4.297827677
2145,0,,,1,4.297827677
2146,0,,,1,4.297827677
2147,0,,,1,4.297827677
2148,0,,,1,4.297827677
2149,0,,,1,4.297827677
2150,0,,,1,4.297827677
2151,0,,,1,4.297827677
2152,0,,,1,4.297827677
2153,0,,,1,4.297827677
2154,0,,,1,4.297827677
2155,0,,,1,4.297827677
2156,0,,,1,4.297827677
2157,0,,,1,4.297827677
2158,0,,,1,4.297827677
2159,0,,,1,4.297827677
2160,0,,,1,4.297827677
2161,0,,,1,4.297827677
2162,0,,,1,4.297827677
2163,0,,,1,4.297827677
2164,0,,,1,4.297827677
2165,0,,,1,4.297827677
2166,0,,,1,4.297827677
2167,0,,,1,4.297827677
2168,0,,,1,4.297827677
2169,0,,,1,4.297827677
2170,0,,,1,4.297827677
2171,0,,,1,4.297827677
2172,0,,,1,4.297827677
2173,0,,,1,4.297827677
2174,0,,,1,4.297827677
2175,0,,,1,4.297827677
2176,0,,,1,4.297827677
2177,0,,,1,4.297827677
2178,0,,,1,4.297827677
2179,0,,,1,4.297827677
2180,0,,,1,4.297827677
2181,0,,,1,4.297827677
2182,0,,,1,4.297827677
2183,0,,,1,4.297827677
2184,0,,,1,4.297827677
2185,0,,,1,4.297827677
2186,0,,,1,4.297827677
2187,0,,,1,4.297827677
2188,0,,,1,4.297827677
2189,0,,,1,4.297827677
2190,0,,,1,4.297827677
2191,0,,,1,4.297827677
2192,0,,,1,4.297827677
2193,0,,,1,4.297827677
2194,0,,,1,4.297827677
2195,0,,,1,4.297827677
2196,0,,,1,4.297827677
2197,0,,,1,4.297827677
2198,0,,,1,4.297827677
2199,0,,,1,4.297827677
2200,0,,,1,4.297827677
2201,0,,,1,4.297827677
2202,0,,,1,4.297827677
2203,0,,,1,4.297827677
2204,0,,,1,4.297827677
2205,0,,,1,4.297827677
2206,0,,,1,4.297827677
2207,0,,,1,4.297827677
2208,0,,,1,4.297827677
2209,0,,,1,4.297827677
2210,0,,,1,4.297827677
2211,0,,,1,4.297827677
2212,0,,,1,4.297827677
2213,0,,,1,4.297827677
2214,0,,,1,4.297827677
2215,0,,,1,4.297827677
2216,0,,,1,4.297827677
2217,0,,,1,4.297827677
2218,0,,,1,4.297827677
2219,0,,,1,4.297827677
2220,0,,,1,4.297827677
2221,0,,,1,4.297827677
2222,0,,,1,4.297827677
2223,0,,,1,4.297827677
2224,0,,,1,4.297827677
2225,0,,,1,4.297827677
2226,0,,,1,4.297827677
2227,0,,,1,4.297827677
2228,0,,,1,4.297827677
2229,0,,,1,4.297827677
2230,0,,,1,4.297827677
2231,0,,,1,4.297827677
2232,0,,,1,4.297827677
2233,0,,,1,4.297827677
2234,0,,,1,4.297827677
2235,0,,,1,4.297827677
2236,0,,,1,4.297827677
2237,0,,,1,4.297827677
2238,0,,,1,4.297827677
2239,0,,,1,4.297827677
2240,0,,,1,4.297827677
2241,0,,,1,4.297827677
2242,0,,,1,4.297827677
2243,0,,,1,4.297827677
2244,0,,,1,4.297827677
2245,0,,,1,4.297827677
2246,0,,,1,4.297827677
2247,0,,,1,4.297827677
2248,0,,,1,4.297827677
2249,0,,,1,4.297827677
2250,0,,,1,4.297827677
2251,0,,,1,4.297827677
2252,0,,,1,4.297827677
2253,0,,,1,4.297827677
2254,0,,,1,4.297827677
2255,0,,,1,4.297827677
2256,0,,,1,4.297827677
2257,0,,,1,4.297827677
2258,0,,,1,4.297827677
2259,0,,,1,4.297827677
2260,0,,,1,4.297827677
2261,0,,,1,4.297827677
2262,0,,,1,4.297827677
2263,0,,,1,4.297827677
2264,0,,,1,4.297827677
2265,0,,,1,4.297827677
2266,0,,,1,4.297827677
2267,0,,,1,4.297827677
2268,0,,,1,4.297827677
2269,0,,,1,4.297827677
2270,0,,,1,4.297827677
2271,0,,,1,4.297827677
2272,0,,,1,4.297827677
2273,0,,,1,4.297827677
2274,0,,,1,4.297827677
2275,0,,,1,4.297827677
2276,0,,,1,4.297827677
2277,0,,,1,4.297827677
2278,0,,,1,4.297827677
2279,0,,,1,4.297827677
2280,0,,,1,4.297827677
2281,0,,,1,4.297827677
2282,0,,,1,4.297827677
2283,0,,,1,4.297827677
2284,0,,,1,4.297827677
2285,0,,,1,4.297827677
2286,0,,,1,4.297827677
2287,0,,,1,4.297827677
2288,0,,,1,4.297827677
2289,0,,,1,4.297827677
2290,0,,,1,4.297827677
2291,0,,,1,4.297827677
2292,0,,,1,4.297827677
2293,0,,,1,4.297827677
2294,0,,,1,4.297827677
2295,0,,,1,4.297827677
2296,0,,,1,4.297827677
2297,0,,,1,4.297827677
2298,0,,,1,4.297827677
2299,0,,,1,4.297827677
2300,0,,,1,4.297827677
2301,0,,,1,4.297827677
2302,0,,,1,4.297827677
2303,0,,,1,4.297827677
2304,0,,,1,4.297827677
2305,0,,,1,4.297827677
2306,0,,,1,4.297827677
2307,0,,,1,4.297827677
2308,0,,,1,4.297827677
2309,0,,,1,4.297827677
2310,0,,,1,4.297827677
2311,0,,,1,4.297827677
2312,0,,,1,4.297827677
2313,0,,,1,4.297827677
2314,0,,,1,4.297827677
2315,0,,,1,4.297827677
2316,0,,,1,4.297827677
2317,0,,,1,4.297827677
2318,0,,,1,4.297827677
2319,0,,,1,4.297827677
2320,0,,,1,4.297827677
2321,0,,,1,4.297827677
2322,0,,,1,4.297827677
2323,0,,,1,4.297827677
2324,0,,,1,4.297827677
2325,0,,,1,4.297827677
2326,0,,,1,4.297827677
2327,0,,,1,4.297827677
2328,0,,,1,4.297827677
2329,0,,,1,4.297827677
2330,0,,,1,4.297827677
2331,0,,,1,4.297827677
2332,0,,,1,4.297827677
2333,0,,,1,4.297827677
2334,0,,,1,4.297827677
2335,0,,,1,4.297827677
2336,0,,,1,4.297827677
2337,0,,,1,4.297827677
2338,0,,,1,4.297827677
2339,0,,,1,4.297827677
2340,0,,,1,4.297827677
2341,0,,,1,4.297827677
2342,0,,,1,4.297827677
2343,0,,,1,4.297827677
2344,0,,,1,4.297827677
